[INFO] [1773345123.442113643] [line_follower_p]: Line Follower P-Controller started. Target Y: 0.0
[INFO] [1773345123.451107244] [line_follower_p]: Time:     0.00s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.460389339] [line_follower_p]: Time:     0.01s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.468558327] [line_follower_p]: Time:     0.02s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.476026086] [line_follower_p]: Time:     0.03s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.483915984] [line_follower_p]: Time:     0.04s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.490839034] [line_follower_p]: Time:     0.05s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.500303686] [line_follower_p]: Time:     0.05s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.506509116] [line_follower_p]: Time:     0.06s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.515599103] [line_follower_p]: Time:     0.07s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.525656514] [line_follower_p]: Time:     0.08s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.533246598] [line_follower_p]: Time:     0.09s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.543153032] [line_follower_p]: Time:     0.10s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.552621055] [line_follower_p]: Time:     0.11s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.569897796] [line_follower_p]: Time:     0.12s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.586727434] [line_follower_p]: Time:     0.14s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.604577579] [line_follower_p]: Time:     0.16s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.622980595] [line_follower_p]: Time:     0.18s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345123.642961263] [line_follower_p]: Time:     0.20s | Actual Y: -0.317 | Steer Cmd:  0.400
[INFO] [1773345123.676701044] [line_follower_p]: Time:     0.23s | Actual Y: -0.317 | Steer Cmd:  0.400
[INFO] [1773345123.684938636] [line_follower_p]: Time:     0.24s | Actual Y: -0.317 | Steer Cmd:  0.400
[INFO] [1773345123.693388247] [line_follower_p]: Time:     0.25s | Actual Y: -0.317 | Steer Cmd:  0.400
[INFO] [1773345123.713095120] [line_follower_p]: Time:     0.27s | Actual Y: -0.317 | Steer Cmd:  0.400
[INFO] [1773345123.747026674] [line_follower_p]: Time:     0.30s | Actual Y: -0.317 | Steer Cmd:  0.400
[INFO] [1773345123.755040892] [line_follower_p]: Time:     0.31s | Actual Y: -0.317 | Steer Cmd:  0.400
[INFO] [1773345123.761327141] [line_follower_p]: Time:     0.32s | Actual Y: -0.317 | Steer Cmd:  0.400
[INFO] [1773345123.779534856] [line_follower_p]: Time:     0.33s | Actual Y: -0.317 | Steer Cmd:  0.400
[INFO] [1773345123.798870094] [line_follower_p]: Time:     0.35s | Actual Y: -0.317 | Steer Cmd:  0.400
[INFO] [1773345123.816014602] [line_follower_p]: Time:     0.37s | Actual Y: -0.316 | Steer Cmd:  0.400
[INFO] [1773345123.838827288] [line_follower_p]: Time:     0.39s | Actual Y: -0.316 | Steer Cmd:  0.400
[INFO] [1773345123.853887143] [line_follower_p]: Time:     0.41s | Actual Y: -0.316 | Steer Cmd:  0.400
[INFO] [1773345123.872554875] [line_follower_p]: Time:     0.43s | Actual Y: -0.316 | Steer Cmd:  0.400
[INFO] [1773345123.888898935] [line_follower_p]: Time:     0.44s | Actual Y: -0.316 | Steer Cmd:  0.400
[INFO] [1773345123.915113002] [line_follower_p]: Time:     0.47s | Actual Y: -0.316 | Steer Cmd:  0.400
[INFO] [1773345123.957808010] [line_follower_p]: Time:     0.51s | Actual Y: -0.315 | Steer Cmd:  0.400
[INFO] [1773345123.968684222] [line_follower_p]: Time:     0.52s | Actual Y: -0.315 | Steer Cmd:  0.400
[INFO] [1773345123.979920729] [line_follower_p]: Time:     0.53s | Actual Y: -0.315 | Steer Cmd:  0.400
[INFO] [1773345123.992969300] [line_follower_p]: Time:     0.54s | Actual Y: -0.315 | Steer Cmd:  0.400
[INFO] [1773345124.039510119] [line_follower_p]: Time:     0.59s | Actual Y: -0.315 | Steer Cmd:  0.400
[INFO] [1773345124.052989696] [line_follower_p]: Time:     0.61s | Actual Y: -0.315 | Steer Cmd:  0.400
[INFO] [1773345124.060690507] [line_follower_p]: Time:     0.62s | Actual Y: -0.315 | Steer Cmd:  0.400
[INFO] [1773345124.071130076] [line_follower_p]: Time:     0.62s | Actual Y: -0.314 | Steer Cmd:  0.400
[INFO] [1773345124.090432038] [line_follower_p]: Time:     0.64s | Actual Y: -0.314 | Steer Cmd:  0.400
[INFO] [1773345124.105430974] [line_follower_p]: Time:     0.66s | Actual Y: -0.314 | Steer Cmd:  0.400
[INFO] [1773345124.120077134] [line_follower_p]: Time:     0.68s | Actual Y: -0.314 | Steer Cmd:  0.400
[INFO] [1773345124.139109824] [line_follower_p]: Time:     0.69s | Actual Y: -0.313 | Steer Cmd:  0.400
[INFO] [1773345124.162324376] [line_follower_p]: Time:     0.71s | Actual Y: -0.313 | Steer Cmd:  0.400
[INFO] [1773345124.179269766] [line_follower_p]: Time:     0.73s | Actual Y: -0.313 | Steer Cmd:  0.400
[INFO] [1773345124.196894943] [line_follower_p]: Time:     0.75s | Actual Y: -0.312 | Steer Cmd:  0.400
[INFO] [1773345124.213463224] [line_follower_p]: Time:     0.77s | Actual Y: -0.312 | Steer Cmd:  0.400
[INFO] [1773345124.228769930] [line_follower_p]: Time:     0.78s | Actual Y: -0.311 | Steer Cmd:  0.400
[INFO] [1773345124.279822717] [line_follower_p]: Time:     0.83s | Actual Y: -0.311 | Steer Cmd:  0.400
[INFO] [1773345124.289143308] [line_follower_p]: Time:     0.84s | Actual Y: -0.310 | Steer Cmd:  0.400
[INFO] [1773345124.296159184] [line_follower_p]: Time:     0.85s | Actual Y: -0.310 | Steer Cmd:  0.400
[INFO] [1773345124.306313562] [line_follower_p]: Time:     0.86s | Actual Y: -0.309 | Steer Cmd:  0.400
[INFO] [1773345124.347554695] [line_follower_p]: Time:     0.90s | Actual Y: -0.309 | Steer Cmd:  0.400
[INFO] [1773345124.354180471] [line_follower_p]: Time:     0.91s | Actual Y: -0.308 | Steer Cmd:  0.400
[INFO] [1773345124.361714247] [line_follower_p]: Time:     0.92s | Actual Y: -0.308 | Steer Cmd:  0.400
[INFO] [1773345124.378990474] [line_follower_p]: Time:     0.93s | Actual Y: -0.307 | Steer Cmd:  0.400
[INFO] [1773345124.397082168] [line_follower_p]: Time:     0.95s | Actual Y: -0.307 | Steer Cmd:  0.400
[INFO] [1773345124.413176973] [line_follower_p]: Time:     0.97s | Actual Y: -0.307 | Steer Cmd:  0.400
[INFO] [1773345124.432387174] [line_follower_p]: Time:     0.99s | Actual Y: -0.306 | Steer Cmd:  0.400
[INFO] [1773345124.447718487] [line_follower_p]: Time:     1.00s | Actual Y: -0.305 | Steer Cmd:  0.400
[INFO] [1773345124.467237903] [line_follower_p]: Time:     1.02s | Actual Y: -0.304 | Steer Cmd:  0.400
[INFO] [1773345124.484874020] [line_follower_p]: Time:     1.04s | Actual Y: -0.304 | Steer Cmd:  0.400
[INFO] [1773345124.501508998] [line_follower_p]: Time:     1.06s | Actual Y: -0.303 | Steer Cmd:  0.400
[INFO] [1773345124.549503442] [line_follower_p]: Time:     1.10s | Actual Y: -0.302 | Steer Cmd:  0.400
[INFO] [1773345124.555535394] [line_follower_p]: Time:     1.11s | Actual Y: -0.301 | Steer Cmd:  0.400
[INFO] [1773345124.561328845] [line_follower_p]: Time:     1.12s | Actual Y: -0.300 | Steer Cmd:  0.400
[INFO] [1773345124.572878970] [line_follower_p]: Time:     1.13s | Actual Y: -0.299 | Steer Cmd:  0.400
[INFO] [1773345124.592129580] [line_follower_p]: Time:     1.15s | Actual Y: -0.299 | Steer Cmd:  0.400
[INFO] [1773345124.607978931] [line_follower_p]: Time:     1.16s | Actual Y: -0.298 | Steer Cmd:  0.400
[INFO] [1773345124.652906580] [line_follower_p]: Time:     1.21s | Actual Y: -0.297 | Steer Cmd:  0.400
[INFO] [1773345124.660446656] [line_follower_p]: Time:     1.21s | Actual Y: -0.296 | Steer Cmd:  0.400
[INFO] [1773345124.668120206] [line_follower_p]: Time:     1.22s | Actual Y: -0.296 | Steer Cmd:  0.400
[INFO] [1773345124.683667835] [line_follower_p]: Time:     1.24s | Actual Y: -0.295 | Steer Cmd:  0.400
[INFO] [1773345124.701448531] [line_follower_p]: Time:     1.26s | Actual Y: -0.294 | Steer Cmd:  0.400
[INFO] [1773345124.718011995] [line_follower_p]: Time:     1.27s | Actual Y: -0.294 | Steer Cmd:  0.400
[INFO] [1773345124.735501866] [line_follower_p]: Time:     1.29s | Actual Y: -0.293 | Steer Cmd:  0.400
[INFO] [1773345124.753378411] [line_follower_p]: Time:     1.31s | Actual Y: -0.292 | Steer Cmd:  0.400
[INFO] [1773345124.827141515] [line_follower_p]: Time:     1.38s | Actual Y: -0.292 | Steer Cmd:  0.400
[INFO] [1773345124.832188382] [line_follower_p]: Time:     1.39s | Actual Y: -0.291 | Steer Cmd:  0.400
[INFO] [1773345124.837902722] [line_follower_p]: Time:     1.39s | Actual Y: -0.290 | Steer Cmd:  0.400
[INFO] [1773345124.856009858] [line_follower_p]: Time:     1.41s | Actual Y: -0.290 | Steer Cmd:  0.400
[INFO] [1773345124.885989528] [line_follower_p]: Time:     1.44s | Actual Y: -0.289 | Steer Cmd:  0.400
[INFO] [1773345124.893492631] [line_follower_p]: Time:     1.45s | Actual Y: -0.288 | Steer Cmd:  0.400
[INFO] [1773345124.914316494] [line_follower_p]: Time:     1.47s | Actual Y: -0.288 | Steer Cmd:  0.400
[INFO] [1773345124.934490618] [line_follower_p]: Time:     1.49s | Actual Y: -0.287 | Steer Cmd:  0.400
[INFO] [1773345124.955377522] [line_follower_p]: Time:     1.51s | Actual Y: -0.286 | Steer Cmd:  0.400
[INFO] [1773345124.970980530] [line_follower_p]: Time:     1.53s | Actual Y: -0.286 | Steer Cmd:  0.400
[INFO] [1773345124.987652973] [line_follower_p]: Time:     1.54s | Actual Y: -0.285 | Steer Cmd:  0.400
[INFO] [1773345125.008452422] [line_follower_p]: Time:     1.56s | Actual Y: -0.284 | Steer Cmd:  0.400
[INFO] [1773345125.022727016] [line_follower_p]: Time:     1.58s | Actual Y: -0.283 | Steer Cmd:  0.400
[INFO] [1773345125.049794700] [line_follower_p]: Time:     1.60s | Actual Y: -0.283 | Steer Cmd:  0.400
[INFO] [1773345125.086302733] [line_follower_p]: Time:     1.64s | Actual Y: -0.282 | Steer Cmd:  0.400
[INFO] [1773345125.093078667] [line_follower_p]: Time:     1.65s | Actual Y: -0.281 | Steer Cmd:  0.400
[INFO] [1773345125.100245882] [line_follower_p]: Time:     1.65s | Actual Y: -0.281 | Steer Cmd:  0.400
[INFO] [1773345125.113378707] [line_follower_p]: Time:     1.67s | Actual Y: -0.280 | Steer Cmd:  0.400
[INFO] [1773345125.131101326] [line_follower_p]: Time:     1.69s | Actual Y: -0.279 | Steer Cmd:  0.400
[INFO] [1773345125.148078508] [line_follower_p]: Time:     1.70s | Actual Y: -0.277 | Steer Cmd:  0.400
[INFO] [1773345125.168360948] [line_follower_p]: Time:     1.72s | Actual Y: -0.276 | Steer Cmd:  0.400
[INFO] [1773345125.206128103] [line_follower_p]: Time:     1.76s | Actual Y: -0.275 | Steer Cmd:  0.400
[INFO] [1773345125.213091684] [line_follower_p]: Time:     1.77s | Actual Y: -0.274 | Steer Cmd:  0.400
[INFO] [1773345125.223229368] [line_follower_p]: Time:     1.78s | Actual Y: -0.273 | Steer Cmd:  0.400
[INFO] [1773345125.239232261] [line_follower_p]: Time:     1.79s | Actual Y: -0.272 | Steer Cmd:  0.400
[INFO] [1773345125.258211755] [line_follower_p]: Time:     1.81s | Actual Y: -0.270 | Steer Cmd:  0.400
[INFO] [1773345125.272724300] [line_follower_p]: Time:     1.83s | Actual Y: -0.269 | Steer Cmd:  0.400
[INFO] [1773345125.410902612] [line_follower_p]: Time:     1.97s | Actual Y: -0.268 | Steer Cmd:  0.400
[INFO] [1773345125.421590723] [line_follower_p]: Time:     1.98s | Actual Y: -0.267 | Steer Cmd:  0.400
[INFO] [1773345125.430221118] [line_follower_p]: Time:     1.98s | Actual Y: -0.265 | Steer Cmd:  0.400
[INFO] [1773345125.439634717] [line_follower_p]: Time:     1.99s | Actual Y: -0.264 | Steer Cmd:  0.400
[INFO] [1773345125.480212397] [line_follower_p]: Time:     2.04s | Actual Y: -0.263 | Steer Cmd:  0.400
[INFO] [1773345125.488022095] [line_follower_p]: Time:     2.04s | Actual Y: -0.262 | Steer Cmd:  0.400
[INFO] [1773345125.496579145] [line_follower_p]: Time:     2.05s | Actual Y: -0.261 | Steer Cmd:  0.400
[INFO] [1773345125.504683351] [line_follower_p]: Time:     2.06s | Actual Y: -0.260 | Steer Cmd:  0.400
[INFO] [1773345125.521998124] [line_follower_p]: Time:     2.08s | Actual Y: -0.258 | Steer Cmd:  0.400
[INFO] [1773345125.541280463] [line_follower_p]: Time:     2.10s | Actual Y: -0.257 | Steer Cmd:  0.400
[INFO] [1773345125.563750769] [line_follower_p]: Time:     2.12s | Actual Y: -0.256 | Steer Cmd:  0.400
[INFO] [1773345125.578102009] [line_follower_p]: Time:     2.13s | Actual Y: -0.255 | Steer Cmd:  0.400
[INFO] [1773345125.597779248] [line_follower_p]: Time:     2.15s | Actual Y: -0.254 | Steer Cmd:  0.400
[INFO] [1773345125.612951089] [line_follower_p]: Time:     2.17s | Actual Y: -0.253 | Steer Cmd:  0.400
[INFO] [1773345125.630897040] [line_follower_p]: Time:     2.19s | Actual Y: -0.252 | Steer Cmd:  0.400
[INFO] [1773345125.652339861] [line_follower_p]: Time:     2.21s | Actual Y: -0.251 | Steer Cmd:  0.400
